ts,sprint,targets,b40,audits,contacts,open,merged,closed,sent,paid_deals,paid_usd
2026-09-24T16:56:48Z,sprint1,1279,747,213,141,39,25,13,0,0,0
2026-09-24T17:41:50Z,sprint2,1279,747,213,141,39,25,13,0,0,0
2026-09-24T18:26:53Z,sprint3,1280,748,213,141,39,25,13,0,0,0
2026-09-24T19:11:47Z,sprint4,1280,748,213,141,39,25,13,0,0,0
2026-09-24T19:56:55Z,sprint5,1281,749,213,141,39,25,13,0,0,0
2026-09-24T20:41:42Z,sprint6,1281,749,213,141,39,25,13,0,0,0
2026-09-24T21:26:47Z,sprint7,1281,749,213,141,39,25,13,0,0,0
2026-09-24T22:11:41Z,sprint8,1281,749,213,141,39,25,13,0,0,0
2026-09-25T01:25:35Z,sprint1,1281,749,213,141,39,25,13,0,0,0
2026-09-25T01:30:13Z,sprint1,1281,749,213,150,39,25,13,0,0,0
2026-09-25T02:15:58Z,sprint2,1281,749,213,151,41,25,13,0,0,0
